course_code,course_title,Semester,Term,Program,Pre-Req,Elective,college,
PSC301,Pakistan Studies,one,Fall-2020,BBA(H),,,CBM,
ECO101,Principles of Microeconomics,one,Fall-2020,BBA(H),,,CBM,
ECO102,Principles of Management,one,Fall-2020,BBA(H),,,CBM,
SSC101,Introduction to Psychology,one,Fall-2020,BBA(H),,,CBM,
MTH101,College Algebra,one,Fall-2020,BBA(H),,,CBM,
REL101,Islamic Studies,one,Fall-2020,BBA(H),,,CBM,
COM107,Academic English,Two,Spring-2021,BBA(H),,,CBM,
ACC101,Introduction to Financial Accounting,Two,Spring-2021,BBA(H),,,CBM,
ECO102,Principles of Macroeconomics,Two,Spring-2021,BBA(H),,,CBM,
MKT301,Principles of Marketing,Two,Spring-2021,BBA(H),,,CBM,
MTH103,Calculus for Business Decisions,Two,Spring-2021,BBA(H),,,CBM,
ENT307,Entrepreneurial Leadership and Motivation,Two,Spring-2021,BBA(H),,,CBM,
ACC201,Intermediate Financial Accounting,Three,Fall-2021,BBA(H),,,CBM,
COM205,Persuasive & Analytical Writing for Business Communication,Three,Fall-2021,BBA(H),COM107,,CBM,
MIS303,IS Audit and Management,Three,Fall-2021,BBA(H),,,CBM,
SSC301,History of Ideas,Three,Fall-2021,BBA(H),,,CBM,
STA201,Quantitative Business Analysis,Three,Fall-2021,BBA(H),,,CBM,
ENT308,Social Advocacy and Community Service ,Three,Fall-2021,BBA(H),,,CBM,
COM202,Business and Professional Speech ,Four,Spring-2022,BBA(H),COM205,,CBM,
FIN201,Introduction to Business Finance ,Four,Spring-2022,BBA(H),,,CBM,
SSC401,Business Ethics,Four,Spring-2022,BBA(H),,,CBM,
MKT302,Marketing Management ,Four,Spring-2022,BBA(H),,,CBM,
STA202,Quantitative Skills & Managerial Statistics,Four,Spring-2022,BBA(H),,,CBM,
MAN302,Organizational Behavior ,Four,Spring-2022,BBA(H),,,CBM,
SCM400,Introduction to ERP Systems,Five,Fall-2022,BBA(H),,,CBM,
FIN301,Financial Institutions,Five,Fall-2022,BBA(H),,,CBM,
LAN 10*,Foreign Language I*,Five,Fall-2022,BBA(H),,,CBM,
MKT404,Methods in Business Research ,Five,Fall-2022,BBA(H),,,CBM,
HRM301,Human Resource Management,Five,Fall-2022,BBA(H),,,CBM,
ACC350,Cost and Management Accounting,Five,Fall-2022,BBA(H),,,CBM,
FIN202,Financial Management,Six,Spring-2023,BBA(H),,,CBM,
LAN 20**,Foreign Language II,Six,Spring-2023,BBA(H),,,CBM,
MAN303,Production & Operations Management,Six,Spring-2023,BBA(H),,,CBM,
MKT509,Consumer Behavior,Six,Spring-2023,BBA(H),,,CBM,
LAW409,Corporate and Business Law,Six,Spring-2023,BBA(H),,,CBM,
MIS305,CRM System and Applications,Six,Spring-2023,BBA(H),,,CBM,
MKT403,Sales Management,Seven,Fall-2023,BBA(H),,,CBM,
ENT403,Entrepreneurship and Small Business Management,Seven,Fall-2023,BBA(H),,,CBM,
MAN408,Analysis of Pakistani Industries ,Seven,Fall-2023,BBA(H),,,CBM,
,Elective I,Seven,Fall-2023,BBA(H),,,CBM,
,Elective II,Seven,Fall-2023,BBA(H),,,CBM,
,Elective III,Seven,Fall-2023,BBA(H),,,CBM,
ECO402,Pakistan Economic Policy OR,Eight,Spring-2024,BBA(H),,,CBM,
ECO405,Seminar in Economic Policy,Eight,Spring-2024,BBA(H),,,CBM,
MAN405,Strategic Management,Eight,Spring-2024,BBA(H),,,CBM,
MKT511,Brand Management ,Eight,Spring-2024,BBA(H),,,CBM,
,Elective IV,Eight,Spring-2024,BBA(H),,,CBM,
,Elective V,Eight,Spring-2024,BBA(H),,,CBM,
XXX6922,Capstone Project,Eight,Spring-2024,BBA(H),,,CBM,
,Internship ,Eight,Spring-2024,BBA(H),,,CBM,
REL101,Principles of Management,one,Fall-2020,BS(J)E&F,,,CBM,
SSC101,Introduction to Psychology,one,Fall-2020,BS(J)E&F,,,CBM,
REL101,Islamic Studies ,one,Fall-2020,BS(J)E&F,,,CBM,
MTH101,College Algebra,one,Fall-2020,BS(J)E&F,,,CBM,
ECO101,Principles of Microeconomics,one,Fall-2020,BS(J)E&F,,,CBM,
COM107,Academic English,one,Fall-2020,BS(J)E&F,,,CBM,
PSC301,Pakistan Studies,Two,Spring-2021,BS(J)E&F,,,CBM,
MKT301,Principles of Marketing,Two,Spring-2021,BS(J)E&F,,,CBM,
ACC101,Introduction to Financial Accounting,Two,Spring-2021,BS(J)E&F,,,CBM,
MTH103,Calculus for Business Decisions,Two,Spring-2021,BS(J)E&F,,,CBM,
ECO102,Principles of Macroeconomics,Two,Spring-2021,BS(J)E&F,,,CBM,
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring-2021,BS(J)E&F,COM107,,CBM,
LAW409,Business & Corporate Law,Three,Fall-2021,BS(J)E&F,,,CBM,
MIS303,IS Audit & Management,Three,Fall-2021,BS(J)E&F,,,CBM,
ACC201,Intermediate Financial Accounting,Three,Fall-2021,BS(J)E&F,,,CBM,
STA203,Probability Theory & Statistics,Three,Fall-2021,BS(J)E&F,,,CBM,
ECO208,Development Economics,Three,Fall-2021,BS(J)E&F,,,CBM,
COM202,Business & Professional Speech ,Three,Fall-2021,BS(J)E&F,COM205,,CBM,
MAN302,Organizational Behavior ,Four,Spring-2022,BS(J)E&F,,,CBM,
FIN201,Introduction to Business Finance,Four,Spring-2022,BS(J)E&F,,,CBM,
ACC503,Taxation,Four,Spring-2022,BS(J)E&F,,,CBM,
STA301,Model & Inferences,Four,Spring-2022,BS(J)E&F,,,CBM,
ECO301,Managerial Economics,Four,Spring-2022,BS(J)E&F,,,CBM,
MKT302,Marketing Management ,Four,Spring-2022,BS(J)E&F,,,CBM,
ECO303,Financial Economics,Five,Fall-2022,BS(J)E&F,,,CBM,
HRM301,Human Resource Management ,Five,Fall-2022,BS(J)E&F,,,CBM,
MKT404,Methods in Business Research,Five,Fall-2022,BS(J)E&F,,,CBM,
FIN202,Financial Management,Five,Fall-2022,BS(J)E&F,,,CBM,
STA302,Methods of Data Analysis,Five,Fall-2022,BS(J)E&F,,,CBM,
LAN 10*,Foreign Language I,Five,Fall-2022,BS(J)E&F,,,CBM,
ECO311,General Equilibrium and Welfare Economics,Six,Spring-2023,BS(J)E&F,,,CBM,
LAN 20**,Foreign Language II,Six,Spring-2023,BS(J)E&F,,,CBM,
FIN511,Analysis of Financial Statements,Six,Spring-2023,BS(J)E&F,,,CBM,
ENT403,Small Business and Entrepreneurship,Six,Spring-2023,BS(J)E&F,,,CBM,
ECO304,Introduction to Econometrics,Six,Spring-2023,BS(J)E&F,,,CBM,
FIN301,Financial Institutions ,Six,Spring-2023,BS(J)E&F,,,CBM,
ECO402,Pakistan & Economic Policy,Seven,Fall-2023,BS(J)E&F,,,CBM,
FIN503,Corporate Finance,Seven,Fall-2023,BS(J)E&F,,,CBM,
ECO314,Contemporary Issues in Macroeconomics,Seven,Fall-2023,BS(J)E&F,,,CBM,
FIN613,Financial Modeling,Seven,Fall-2023,BS(J)E&F,,,CBM,
,Economics Elective I,Seven,Fall-2023,BS(J)E&F,,,CBM,
,Finance Elective I,Seven,Fall-2023,BS(J)E&F,,,CBM,
,Economics Elective II,Eight,Spring-2024,BS(J)E&F,,,CBM,
,Finance Elective II,Eight,Spring-2024,BS(J)E&F,,,CBM,
,Economics Elective III,Eight,Spring-2024,BS(J)E&F,,,CBM,
,Finance Elective III,Eight,Spring-2024,BS(J)E&F,,,CBM,
,Economics Elective IV,Eight,Spring-2024,BS(J)E&F,,,CBM,
,Finance Elective IV,Eight,Spring-2024,BS(J)E&F,,,CBM,
MAN101,Principles of Management,one,Fall-2020,BS(J)A&F,,,CBM,
SSC101,Introduction to Psychology,one,Fall-2020,BS(J)A&F,,,CBM,
REL101,Islamic Studies,one,Fall-2020,BS(J)A&F,,,CBM,
MTH101,College Algebra,one,Fall-2020,BS(J)A&F,,,CBM,
ECO101,Principles of Microeconomics,one,Fall-2020,BS(J)A&F,,,CBM,
COM107,Academic English,one,Fall-2020,BS(J)A&F,,,CBM,
PSC301,Pakistan Studies,Two,Spring-2021,BS(J)A&F,,,CBM,
MKT301,Principles of Marketing,Two,Spring-2021,BS(J)A&F,,,CBM,
ACC101,Introduction to Financial Accounting,Two,Spring-2021,BS(J)A&F,,,CBM,
MTH103,Calculus for Business Decisions,Two,Spring-2021,BS(J)A&F,,,CBM,
ECO102,Principles of Macroeconomics,Two,Spring-2021,BS(J)A&F,,,CBM,
