course_code,course_title,Semester,Term,Program,Pre-Req,Elective,college
SSC101,Introduction to Psychology,one,Fall-2021,BBA(H),,,CBM
ECO101,Principles of Micro Economics,one,Fall-2021,BBA(H),,,CBM
MTH102,Business Mathematics,one,Fall-2021,BBA(H),,,CBM
REL101,Islamic Studies,one,Fall-2021,BBA(H),,,CBM
COM107,Academic English,one,Fall-2021,BBA(H),,,CBM
MAN101,Principles of Management,one,Fall-2021,BBA(H),,,CBM
SSC301,History of Ideas,Two,Spring-2022,BBA(H),,,CBM
ECO102,Principles of Macro Economics,Two,Spring-2022,BBA(H),,,CBM
STA104,Quantitative Techniques in Business,Two,Spring-2022,BBA(H),,,CBM
,Foreign Language I,Two,Spring-2022,BBA(H),,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring-2022,BBA(H),COM107,,CBM
ACC101,Introduction to Financial Accounting,Two,Spring-2022,BBA(H),,,CBM
ENT201,Entrepreneurial Society & Social Impact,Three,Fall-2022,BBA(H),,,CBM
MKT302,Marketing Management,Three,Fall-2022,BBA(H),,,CBM
,Foreign Language II,Three,Fall-2022,BBA(H),,,CBM
PSC301,Pakistan Studies,Three,Fall-2022,BBA(H),,,CBM
COM202,Business & Professional Speech,Three,Fall-2022,BBA(H),,,CBM
ACC201,Intermediate Financial Accounting,Three,Fall-2022,BBA(H),,,CBM
MAN302,Organizational Behavior,Four,Spring-2023,BBA(H),,,CBM
ENT202,Entrepreneurial Business Operations,Four,Spring-2023,BBA(H),,,CBM
MAN501,Supply Chain Management,Four,Spring-2023,BBA(H),,,CBM
MIS402,Computer Concepts & Applications,Four,Spring-2023,BBA(H),,,CBM
ISF101,Introduction to Islamic Banking & Finance,Four,Spring-2023,BBA(H),,,CBM
FIN201,Introduction to Business Finance,Four,Spring-2023,BBA(H),,,CBM
HRM301,Human Resource Management,Five,Fall-2023,BBA(H),,,CBM
MKT404,Methods in Business Research,Five,Fall-2023,BBA(H),,,CBM
SCM400,Introduction to ERP,Five,Fall-2023,BBA(H),,,CBM
BDS101,Introduction to Data Sciences,Five,Fall-2023,BBA(H),,,CBM
ISF201,Islamic Financial Accounting,Five,Fall-2023,BBA(H),,,CBM
FIN202,Financial Management,Five,Fall-2023,BBA(H),,,CBM
MAN309,Leadership Journey,Six,Spring-2024,BBA(H),,,CBM
,Major 1 (compulsory elective),Six,Spring-2024,BBA(H),,,CBM
,Major II (compulsory elctive),Six,Spring-2024,BBA(H),,,CBM
,Major III,Six,Spring-2024,BBA(H),,,CBM
,Major IV,Six,Spring-2024,BBA(H),,,CBM
,Major V,Six,Spring-2024,BBA(H),,,CBM
ECO402,Pakistan Economic Policy,Seven,Fall-2024,BBA(H),,,CBM
,Major VI,Seven,Fall-2024,BBA(H),,,CBM
,Major VII,Seven,Fall-2024,BBA(H),,,CBM
,Minor I (compulsory elective),Seven,Fall-2024,BBA(H),,,CBM
,Minor II (compulsory elective),Seven,Fall-2024,BBA(H),,,CBM
SSC401,Business Ethics,Seven,Fall-2024,BBA(H),,,CBM
,Major VIII,Eight,Spring-2025,BBA(H),,,CBM
,Major IX,Eight,Spring-2025,BBA(H),,,CBM
,Major X,Eight,Spring-2025,BBA(H),,,CBM
,Major XI (Capstone),Eight,Spring-2025,BBA(H),,,CBM
MAN405,Strategic Management,Eight,Spring-2025,BBA(H),,,CBM
LAW409,Corporate & Business Law,Eight,Spring-2025,BBA(H),,,CBM
SSC101,Introduction to Psychology,one,Fall-2021,BS(J)E&F,,,CBM
REL101,Islamic Studies,one,Fall-2021,BS(J)E&F,,,CBM
MTH102,Business Mathematics,one,Fall-2021,BS(J)E&F,,,CBM
SSC401,Business Ethics,one,Fall-2021,BS(J)E&F,,,CBM
COM107,Academic English,one,Fall-2021,BS(J)E&F,,,CBM
ECO101,Principles of Micro Economics,one,Fall-2021,BS(J)E&F,,,CBM
ECO102,Principles of Macro Economics,Two,Spring-2022,BS(J)E&F,,,CBM
,Foreign Language I,Two,Spring-2022,BS(J)E&F,,,CBM
STA203,Probability Theory & Statistics,Two,Spring-2022,BS(J)E&F,,,CBM
LAW409,Corporate & Business Law,Two,Spring-2022,BS(J)E&F,,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring-2022,BS(J)E&F,COM107,,CBM
ACC101,Introduction to Financial Accounting,Two,Spring-2022,BS(J)E&F,,,CBM
SSC301,History of Ideas,Three,Fall-2022,BS(J)E&F,,,CBM
STA301,Model & Inferences,Three,Fall-2022,BS(J)E&F,,,CBM
,Foreign Language II,Three,Fall-2022,BS(J)E&F,,,CBM
PSC301,Pakistan Studies,Three,Fall-2022,BS(J)E&F,,,CBM
COM202,Business & Professional Speech,Three,Fall-2022,BS(J)E&F,,,CBM
ACC201,Intermediate Financial Accounting,Three,Fall-2022,BS(J)E&F,,,CBM
MIS402,Computer Concepts and Application,Four,Spring-2023,BS(J)E&F,,,CBM
ECO316,Macroeconomic Analysis,Four,Spring-2023,BS(J)E&F,,,CBM
MAN306,Principles of Management & Organizational Behavior,Four,Spring-2023,BS(J)E&F,,,CBM
ECO301,Managerial Economics,Four,Spring-2023,BS(J)E&F,,,CBM
ECO304,Introduction to Econometrics,Four,Spring-2023,BS(J)E&F,,,CBM
FIN201,Introduction to Business Finance,Four,Spring-2023,BS(J)E&F,,,CBM
ECO303,Financial Economics,Five,Fall-2023,BS(J)E&F,,,CBM
FIN301,Financial Institutions,Five,Fall-2023,BS(J)E&F,,,CBM
,Economics Elective I,Five,Fall-2023,BS(J)E&F,,,CBM
,Economics Elective II,Five,Fall-2023,BS(J)E&F,,,CBM
MKT302,Marketing Management,Five,Fall-2023,BS(J)E&F,,,CBM
FIN202,Financial Management,Five,Fall-2023,BS(J)E&F,,,CBM
MAN309,Leadership Journey,Six,Spring-2024,BS(J)E&F,,,CBM
,Economics Elective III,Six,Spring-2024,BS(J)E&F,,,CBM
,Economics Elective IV,Six,Spring-2024,BS(J)E&F,,,CBM
,Economics Elective V,Six,Spring-2024,BS(J)E&F,,,CBM
ISF101,Introduction to Islamic Banking and Finance,Six,Spring-2024,BS(J)E&F,,,CBM
FIN503,Corporate Finance,Six,Spring-2024,BS(J)E&F,,,CBM
ECO402,Pakistan Economic Policy,Seven,Fall-2024,BS(J)E&F,,,CBM
FIN613,Financial Modeling for Decision Making,Seven,Fall-2024,BS(J)E&F,,,CBM
,Finance Elective I,Seven,Fall-2024,BS(J)E&F,,,CBM
,Economics Elective VI,Seven,Fall-2024,BS(J)E&F,,,CBM
,Business Research Project (Economics),Seven,Fall-2024,BS(J)E&F,,,CBM
,Finance Elective II,Seven,Fall-2024,BS(J)E&F,,,CBM
,Finance Elective III,Eight,Spring-2025,BS(J)E&F,,,CBM
,Finance Elective IV,Eight,Spring-2025,BS(J)E&F,,,CBM
,Finance Elective V,Eight,Spring-2025,BS(J)E&F,,,CBM
,Finance Elective VI,Eight,Spring-2025,BS(J)E&F,,,CBM
MAN405,Strategic Management,Eight,Spring-2025,BS(J)E&F,,,CBM
FIN537,Business Research Project (Finance),Eight,Spring-2025,BS(J)E&F,,,CBM
SSC101,Introduction to Psychology,one,Fall-2021,BS(J)A&F,,,CBM
REL101,Islamic Studies,one,Fall-2021,BS(J)A&F,,,CBM
MTH102,Business Mathematics,one,Fall-2021,BS(J)A&F,,,CBM
SSC401,Business Ethics,one,Fall-2021,BS(J)A&F,,,CBM
COM107,Academic English,one,Fall-2021,BS(J)A&F,,,CBM
ECO101,Principles of Micro Economics,one,Fall-2021,BS(J)A&F,,,CBM
SSC301,History of Ideas,Two,Spring-2022,BS(J)A&F,,,CBM
,Foreign Language I,Two,Spring-2022,BS(J)A&F,,,CBM
STA203,Probability Theory & Statistics,Two,Spring-2022,BS(J)A&F,,,CBM
LAW409,Corporate & Business Law,Two,Spring-2022,BS(J)A&F,,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring-2022,BS(J)A&F,COM107,,CBM
ACC101,Introduction to Financial Accounting,Two,Spring-2022,BS(J)A&F,,,CBM
ECO102,Principles of Macro Economics,Three,Fall-2022,BS(J)A&F,,,CBM
MIS402,Computer Concepts and Application,Three,Fall-2022,BS(J)A&F,,,CBM
,Foreign Language II,Three,Fall-2022,BS(J)A&F,,,CBM
PSC301,Pakistan Studies,Three,Fall-2022,BS(J)A&F,,,CBM
COM202,Business & Professional Speech,Three,Fall-2022,BS(J)A&F,,,CBM
ACC201,Intermediate Financial Accounting,Three,Fall-2022,BS(J)A&F,,,CBM
MAN306,Principles of Management & Organizational Behavior,Four,Spring-2023,BS(J)A&F,,,CBM
ACC320,Cost and Management Accounting,Four,Spring-2023,BS(J)A&F,,,CBM
ACC501,Advanced Financial Accounting,Four,Spring-2023,BS(J)A&F,,,CBM
ACC530,Financial Regulation and Reporting,Four,Spring-2023,BS(J)A&F,,,CBM
STA301,Model & Inferences,Four,Spring-2023,BS(J)A&F,,,CBM
FIN201,Introduction to Business Finance,Four,Spring-2023,BS(J)A&F,,,CBM
MKT302,Marketing Management,Five,Fall-2023,BS(J)A&F,,,CBM
FIN301,Financial Institutions,Five,Fall-2023,BS(J)A&F,,,CBM
,Accounting Elective I,Five,Fall-2023,BS(J)A&F,,,CBM
,Accounting Elective II,Five,Fall-2023,BS(J)A&F,,,CBM
,Accounting Elective III,Five,Fall-2023,BS(J)A&F,,,CBM
